director
David Wain
Michael Cristofer
John Moore
Sharon Maguire
Jessie Nelson
J.B. Rogers
Bill Paxton
Luke Greenfield
Jesse Dylan
Demian Lichtenstein
Peter Chelsom
Christophe Gans
Daniel Sackheim
Adam Shankman
David Mirkin
Brad Anderson
Brendan Malloy
John Cameron Mitchell
Tom Green
Pat O'Connor
Gregory Poirier
Todd Field
Louis C.K.
Blair Hayes
Stephen Chow
John A. Davis
Tommy O'Haver
Hironobu Sakaguchi
Francine McDougall
Lawrence Guterman
Joe Roth
Chris Nahon
Henry Bean
Richard Eyre
John Stockwell
Karan Johar
Gregor Jordan
Tim Blake Nelson
Jez Butterworth
Jon Favreau
Harald Zwart
Stephen Carpenter
Scott McGehee
Charles Herman-Wurmfeld
Jean-Marie Poiré
Michael Cuesta
DJ Pooh
Vondie Curtis-Hall
Chris Weitz
Mark Brown
Rintaro
Nicole Holofcener
Rob Pritts
Chuck Sheetz
Mitch Davis
David Atkins
Steven Shainberg
Chris Wedge
Dean DeBlois
Rob Marshall
Joel Zwick
Kurt Wimmer
Simon Wells
Louis Leterrier
Walt Becker
Kelly Asbury
Julie Taymor
George Clooney
Yimou Zhang
Ellory Elkayem
Mark Romanek
Eli Roth
Ed Decter
Andrew Lau
Denzel Washington
Jonas Åkerlund
Park Chan-Wook
Marc Lawrence
Justin Lin
Shawn Levy
Perry Andelin Blake
Charles Stone III
Marcus Raboy
John Lee Hancock
Guy Ritchie
Lucky McKee
Jesse Vaughan
Callie Khouri
Kevin Donovan
John Polson
Burr Steers
Peter Kosminsky
D.J. Caruso
Takashi Shimizu
Tim Story
Niki Caro
Joe Carnahan
David Jacobson
Mort Nathan
Michael Lembeck
Dewey Nicks
Wallace Wolodarsky
Peter Hastings
Kevin Bray
Stephen Gaghan
Robin Budd
Mars Callahan
Jaume Balagueró
Bob Dolman
Cathy Malkasian
Seth Kearsley
Don Michael Paul
Wych Kaosayananda
Patricia Cardoso
John Stainton
Tom Tykwer
Richard Curtis
Len Wiseman
Bong Joon Ho
Andrew Stanton
Catherine Hardwicke
Rob Schmidt
Patty Jenkins
Tommy Wiseau
Marcus Nispel
Clark Johnson
Rob Zombie
Tim McCanlies
Chris Kentis
Peter Webber
Bo Welch
Aaron Blaise
David R. Ellis
Audrey Wells
Jonathan Liebesman
Bille Woodruff
James Cox
Patrick Gilmore
Uwe Boll
Vadim Perelman
Tom McCarthy
Casey La Scala
Billy Ray
Wayne Kramer
Bruno Barreto
David Mackenzie
Sylvain Chomet
Paul Hunter
Reggie Rock Bythewood
Gordon Chan
Fenton Bailey
Glen Morgan
C. Jay Cox
Tim Fywell
Steve Trenbirth
John Crowley
David Gordon Green
Richard Kwietniowski
Chris Rock
Peter Hedges
Damian Nieman
John Eng
Eric Till
Ryan Little
Gérard Krawczyk
John Hoffman
Clare Kilner
Jeff Schaffer
Rawson Marshall Thurber
Michel Gondry
James Wan
Jonathan Hensleigh
Eric Bress
Jared Hess
Gary Winick
Paul Haggis
Paul Greengrass
Zack Snyder
Alexander Witt
Adam McKay
David S. Goyer
Shane Carruth
John Hamburg
Stephen Hillenburg
Ethan Coen
Terry George
Zach Braff
Pitof
Don Mancini
Kar-Wai Wong
Joseph Kahn
Gurinder Chadha
Marc Forster
Joe Nussbaum
Richard Loncraine
Gavin O'Connor
Paul McGuigan
Sara Sugarman
Kerry Conran
Brian Dannelly
Sean McNamara
Beeban Kidron
Jacob Estes
Guy Ferland
Angela Robinson
Jessy Terrero
Jonathan Glazer
Tod Williams
Christopher Erskin
Will Finn
Timur Bekmambetov
Chris Stokes
Kevin Spacey
Michael Clancy
Yash Chopra
Nick Hurran
Joshua Marston
Michael Dowse
Bart Freundlich
Je-kyu Kang
Robert C. Ramirez
Judd Apatow
Joe Wright
Frank Miller
James McTeigue
Francis Lawrence
Garth Jennings
Joss Whedon
Rob McKittrick
Jean-François Richet
David Slade
Jaume Collet-Serra
Shane Black
Fernando Meirelles
Dave McKean
Darren Lynn Bousman
Robert Schwentke
Andrew Douglas
Breck Eisner
Rian Johnson
Greg McLean
Scott Derrickson
Susan Stroman
Bruce Hunt
Ol Parker
Thomas Bezucha
Bennett Miller
Noah Baumbach
Hideo Nakata
Mike Bigelow
David Ayer
Darren Grant
Steve Box
John Maybury
Jason Reitman
Mikael Håfström
Florent-Emilio Siri
Cory Edwards
Tommy Lee Jones
John Gulager
Jeff Wadlow
John Hillcoat
Craig Brewer
Richard Shepard
Atom Egoyan
Rebecca Miller
Geoffrey Sax
Niall Johnson
Miranda July
Duncan Tucker
Andy Garcia
Arie Posin
Gary Chapman
Phil Morrison
John Gatins
Bent Hamer
Liev Schreiber
Mike Mills
David Frankel
Andy Fickman
Gabriele Muccino
Jonathan Dayton
Kevin Macdonald
Florian Henckel von Donnersmarck
J.J. Abrams
Steve Pink
James Gunn
Alexandre Aja
Liam Lynch
Anne Fletcher
Larry Charles
Mark Neveldine
Neil Burger
Tim Johnson
Elizabeth Allen Rosenbaum
Stefen Fangmeier
Gil Kenan
Greg Coolidge
David Bowers
Werner Herzog
Corey Yuen
Susannah Grant
Alejandro Agresti
Mark Palansky
Carlos Saldanha
William Brent Bell
David Von Ancken
Ericson Core
Adam Green
Tyler Perry
John Bonito
John Curran
George Hickenlooper
Doug Atchison
Aaron Seltzer
Anthony Russo
Matthew O'Callaghan
Michael Mayer
Goran Dukic
Gregory Dark
Allen Coulter
Chris Robinson
Emilio Estevez
Ryan Fleck
Steve 'Spaz' Williams
Liz Friedlander
Jim Sonzero
Michael Polish
Nick Guthe
Todd Robinson
Colin Brady
Kelly Reichardt
Wil Shriner
Matthew Vaughn
Ben Affleck
Greg Mottola
David Yates
Juan Carlos Fresnadillo
Xavier Gens
Gabor Csupo
Shari Springer Berman
Michael Haneke
Josh Gordon
Ash Brannon
Joby Harold
Simon J. Smith
Colin Strause
Chris Miller
Andrew Dominik
Mark Helfrich
Nacho Vigalondo
Jason Friedberg
Stephen J. Anderson
Tony Gilroy
Oren Peli
Richard LaGravenese
Craig Gillespie
Mennan Yapo
David Silverman
Nimród Antal
Steve Bendelack
Bob Odenkirk
Kirsten Sheridan
Robert Ben Garant
Michael Davis
Scott Frank
Olivier Dahan
John Carney
Philip G. Atwell
Adrienne Shelly
David L. Cunningham
Kevin Munroe
Martin Weisz
Dave Meyers
Julian Jarrold
Tom Brady
Tom Kalin
José Padilha
Danny Pang
Franck Khalfoun
Oliver Hirschbiegel
Vincent Paronnaud
Chris Sivertson
Zach Helm
Thor Freudenthal
Daniel Waters
Jon Poll
Doug Lefler
Sergei Bodrov
Jonathan Kasdan
Gavin Hood
Sylvain White
Deborah Kampmeier
Susanne Bier
Mark Osborne
Phyllida Lloyd
Bryan Bertino
Pierre Morel
Nicholas Stoller
Martin McDonagh
Michael Patrick King
Fred Wolf
Carter Smith
Justin Chadwick
Eric Brevig
Byron Howard
Sean Anders
Mark Herman
Tomas Alfredson
Nick Moore
Nicolas Winding Refn
Lexi Alexander
Charlie Kaufman
Peter Sollett
Neil Marshall
Jon M. Chu
Kent Alterman
Howard McCain
David Hackl
Jimmy Hayward
Diane English
Clark Gregg
Ryûhei Kitamura
Tom Vaughan
Pete Travis
Christine Jeffs
Robert B. Weide
Olivier Megaton
Nelson McCormick
Dave Filoni
Jon Hurwitz
Michael McCullers
Jennifer Flackett
John Erick Dowdle
George C. Wolfe
Seth Gordon
Sanaa Hamri
Jee-woon Kim
Rodrigo García
Masayuki Ochiai
Marcel Langenegger
David Moreau
Marco Schnabel
Chris Carter
Eric Valette
Alex Kendrick
Jeffrey Nachmanoff
Darnell Martin
Bruce McDonald
Ari Folman
Guillermo Arriaga
Sam Fell
Marc Schölermann
Tony Leondis
Jonathan Levine
Courtney Hunt
S.R. Bindler
Jennifer Lynch
Ruben Fleischer
Marc Webb
Neill Blomkamp
Kyle Newman
Duncan Jones
Jaco Van Dormael
Gaspar Noé
Will Gluck
Drew Barrymore
Juan José Campanella
Christian Alvart
Rob Letterman
Patrick Tatopoulos
Peter Billingsley
Dennis Iliadis
Niels Arden Oplev
Stewart Hendler
Lee Daniels
Phil Lord
Ricky Gervais
Olatunde Osunsanmi
Marcus Dunstan
Grant Heslov
Tom Ford
Derrick Borte
Michael Spierig
Lone Scherfig
Scott Cooper
Shane Acker
Jean-Marc Vallée
Vincenzo Natali
Jacques Audiard
Kevin Greutert
Andrea Arnold
Agnieszka Wojtowicz-Vosloo
Steve Shill
Phil Traill
Peter Cornwell
Glenn Ficarra
Scott Sanders
Kevin Tancharoen
Ti West
George Gallo
Hoyt Yeatman
Brandon Camp
Jody Hill
Daniel Barber
Jorge Blanco
Raymond De Felitta
Anne Fontaine
Tommy Wirkola
Oren Moverman
Tomm Moore
J Blakeson
Neal Brennan
Zach Cregger
Tom Hooper
Francesca Gregorini
Edgar Wright
Jim Field Smith
Gareth Edwards
Nathan Greno
Steven R. Monroe
Anton Corbijn
Denis Villeneuve
Steve Antin
Pierre Coffin
Derek Cianfrance
Joseph Kosinski
Lee Unkrich
Ethan Maniquis
Tom McGrath
Ryan Murphy
Rodrigo Cortés
Scott Stewart
Debra Granik
Samuel Bayer
John Luessenhop
Anna Boden
Lisa Cholodenko
Anand Tucker
Floria Sigismondi
Jorma Taccone
Hiromasa Yonebayashi
Julie Anne Robinson
Quentin Dupieux
Takashi Miike
Susanna White
Nanette Burstein
Miguel Sapochnik
David Schwimmer
John Wells
Jay Duplass
Daniel Stamm
Abe Sylvia
William Monahan
Alan Poul
Troy Nixey
Shana Feste
Jim Mickle
Richard J. Lewis
Malcolm Venville
Sngmoo Lee
Spencer Susser
Nick Tomnay
Mitch Glazer
Dan Rush
Jeff Nichols
Paul Feig
Drew Goddard
Tate Taylor
Jennifer Yuh Nelson
Steve McQueen
Rupert Wyatt
Brad Furman
Asghar Farhadi
George Nolfi
Gareth Evans
J.C. Chandor
Chris Gorak
Steven Quale
